status,job_site,full_url,location,state,remote,job_type,department,closing_date,agency_department,position,salary_range,qualification,education_requirement,org_boilerplate,role_description,keywords_swe,keywords_general,keywords_domain,contact_name,contact_phone,contact_email,first_scraped_date,last_scraped_date,last_modified_date
,governmentjobs.com,https://www.governmentjobs.com/jobs/5266292-0/solution-developer,"Oxnard 93030, CA",CA,,,,,City of Oxnard,Solution Developer,"Full Time  | $103,809.06 - $131,127.57 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/4845209-0/principal-application-developer,"Los Angeles County, CA",CA,,,,,County of Los Angeles,PRINCIPAL APPLICATION DEVELOPER,"Full time  | $118,233.84 - $159,337.20 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5259501-0/it-supervising-applications-developer,Riverside,,,,,,County of Riverside,IT Supervising Applications Developer,"Regular  | $117,338.68 - $158,386.96 Annually  | Closes in 4 days",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/51482-1/senior-applications-developer,"San Carlos, CA",CA,,,,,San Mateo County Transit District,Senior Applications Developer,"Full-Time  | $110,089.00 - $165,134.00 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5281720-0/senior-applications-developer-data-architect,"Pasadena City Hall, CA",CA,,,,,City of Pasadena,Senior Applications Developer (Data Architect),"Full -Time  | $126,429.00 - $158,036.00 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5242744-0/senior-transportation-engineer-qa,"CA 95134-1927, CA",CA,,,,,Santa Clara Valley Transportation Authority,Senior Transportation Engineer - QA,"Full-Time  | $165,053.24 - $200,603.54 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5220496-0/behavioral-health-manager-quality-assurance-performance-improvement-qapi,"Napa, CA",CA,,,,,County of Napa,Behavioral Health Manager - Quality Assurance Performance Improvement (QAPI),"Full Time  | $155,604.80 - $188,760.00 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5089012-0/student-intern-reliability-engineering,"Martinez, CA",CA,,,,,Central Contra Costa Sanitary District,Student Intern - Reliability Engineering,Temporary  | $40.00 Hourly  | Closes in 1 week,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5260804-0/reliability-compliance-program-specialist,"El Centro, CA (Valley Plaza)",CA,,,,,Imperial Irrigation District,Reliability Compliance Program Specialist,"Full-time  | $120,416.00 - $153,683.00 Annually  | Closes in 4 days",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/121025-1/site-cleaner,"San Diego, CA",CA,,,,,San Diego Housing Commission,Site Cleaner,| $18.27 - $22.26 Hourly,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5259745-0/disposal-site-supervisor,"City of San Diego, CA",CA,,,,,City of San Diego,Disposal Site Supervisor,"Varies by Position  | $80,537.60 - $97,323.20 Annually  | Closes in 3 days",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5250651-0/sports-site-supervisor,"Dinuba, CA",CA,,,,,City of Dinuba,Sports Site Supervisor,Temporary Part-time (20 hours per week)  | $18.00 Hourly,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5242878-0/enrichment-site-aide,CPKW-Park Recreation Leaders,,,,,,City of Springfield,Enrichment Site Aide,Seasonal  | $19.50 Hourly  | Closes in 3 months,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5031832-0/pt-site-coordinator,Celina,,,,,,"Celina, City of (TX)",PT SITE COORDINATOR,Part-Time  | $17.90 Hourly,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/3615368-0/resident-manager-on-site,"Sacramento, CA",CA,,,,,Sacramento Housing and Redevelopment Agency,Resident Manager - On Site,"Full-Time  | $41,575.32 - $43,020.85 Annually",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5286580-0/site-coordinator-summer-camps,"Community Recreation Center, CA",CA,,,,,Town of Mammoth Lakes,Site Coordinator - Summer Camps,Limited-Term/Seasonal  | $27.49 - $31.82 Hourly  | Closes in 2 weeks,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5275353-0/child-care-site-supervisor,"Walnut Valley Unified School District, CA",CA,,,,,Walnut Valley Unified School District,CHILD CARE SITE SUPERVISOR,"Full-Time  | $4,562.13 - $5,967.87 Monthly  | Closes in 1 week",,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5022541-0/youth-center-site-supervisor,Farmington Hills,,,,,,City of Farmington Hills,Youth Center Site Supervisor,Part-Time  | $13.50 - $15.50 Hourly,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5027579-0/specialist-reach-site-coordinator,"Pico Rivera, CA",CA,,,,,City of Pico Rivera,Specialist/REACH Site Coordinator,Grant-funded  | $19.50 - $27.00 Hourly,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
,governmentjobs.com,https://www.governmentjobs.com/jobs/5287237-0/recreation-site-coordinator,"City of West Covina, CA",CA,,,,,City of West Covina,RECREATION SITE COORDINATOR,Part Time  | $18.05 - $19.90 Hourly  | Closes in 2 weeks,,,,,,,,,,,2026-03-27,2026-03-27,2026-03-27
